color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(128, 117, 0)","(96, 131, 0)","(148, 115, 4)","(148, 115, 4)",34.9284983931,0.0
"(128, 117, 0)","(97, 130, 0)","(148, 115, 4)","(148, 115, 4)",33.6154726279,0.0
"(128, 117, 0)","(97, 131, 0)","(148, 115, 4)","(148, 115, 4)",34.0147027034,0.0
"(128, 117, 0)","(98, 130, 0)","(148, 115, 4)","(148, 115, 4)",32.6955654485,0.0
"(128, 117, 0)","(99, 130, 0)","(148, 115, 4)","(148, 115, 4)",31.7804971641,0.0
"(128, 117, 0)","(100, 129, 0)","(148, 115, 4)","(148, 115, 4)",30.4630924235,0.0
"(128, 117, 0)","(101, 129, 0)","(148, 115, 4)","(148, 115, 4)",29.5465734054,0.0
"(128, 117, 0)","(102, 128, 0)","(148, 115, 4)","(148, 115, 4)",28.231188427,0.0
"(128, 117, 0)","(102, 129, 0)","(148, 115, 4)","(148, 115, 4)",28.6356421266,0.0
"(128, 117, 0)","(103, 128, 0)","(148, 115, 4)","(148, 115, 4)",27.3130005675,0.0
"(128, 117, 0)","(104, 128, 0)","(148, 115, 4)","(148, 115, 4)",26.4007575649,0.0
"(128, 118, 0)","(100, 130, 0)","(149, 115, 4)","(149, 115, 4)",30.4630924235,0.0
"(128, 118, 0)","(105, 128, 0)","(149, 115, 4)","(149, 115, 4)",25.079872408,0.0
"(128, 119, 0)","(98, 131, 0)","(149, 116, 4)","(149, 116, 4)",32.3109888428,0.0
"(128, 119, 0)","(99, 131, 0)","(149, 116, 4)","(149, 116, 4)",31.384709653,0.0
"(128, 119, 0)","(100, 131, 0)","(149, 116, 4)","(149, 116, 4)",30.4630924235,0.0
"(128, 119, 0)","(101, 130, 0)","(149, 116, 4)","(149, 116, 4)",29.1547594742,0.0
"(128, 119, 0)","(102, 130, 0)","(149, 116, 4)","(149, 116, 4)",28.231188427,0.0
"(128, 119, 0)","(103, 129, 0)","(149, 116, 4)","(149, 116, 4)",26.9258240357,0.0
"(128, 119, 0)","(104, 129, 0)","(149, 116, 4)","(149, 116, 4)",26.0,0.0
"(128, 119, 0)","(106, 128, 0)","(149, 116, 4)","(149, 116, 4)",23.769728648,0.0
"(128, 119, 0)","(107, 128, 0)","(149, 116, 4)","(149, 116, 4)",22.8473193176,0.0
"(128, 120, 0)","(100, 132, 0)","(150, 117, 4)","(150, 117, 4)",30.4630924235,0.0
"(128, 120, 0)","(102, 131, 0)","(150, 117, 4)","(150, 117, 4)",28.231188427,0.0
"(128, 120, 0)","(104, 130, 0)","(150, 117, 4)","(150, 117, 4)",26.0,0.0
"(128, 120, 0)","(105, 130, 0)","(150, 117, 4)","(150, 117, 4)",25.079872408,0.0
"(128, 120, 0)","(107, 129, 0)","(150, 117, 4)","(150, 117, 4)",22.8473193176,0.0
"(128, 120, 0)","(109, 128, 0)","(150, 117, 4)","(150, 117, 4)",20.6155281281,0.0
"(128, 121, 0)","(101, 132, 0)","(151, 117, 4)","(151, 117, 4)",29.1547594742,0.0
"(128, 121, 0)","(102, 132, 0)","(151, 117, 4)","(151, 117, 4)",28.231188427,0.0
"(128, 121, 0)","(103, 131, 0)","(151, 117, 4)","(151, 117, 4)",26.9258240357,0.0
"(128, 121, 0)","(104, 131, 0)","(151, 117, 4)","(151, 117, 4)",26.0,0.0
"(128, 121, 0)","(106, 130, 0)","(151, 117, 4)","(151, 117, 4)",23.769728648,0.0
"(128, 121, 0)","(107, 130, 0)","(151, 117, 4)","(151, 117, 4)",22.8473193176,0.0
"(128, 121, 0)","(108, 129, 0)","(151, 117, 4)","(151, 117, 4)",21.5406592285,0.0
"(128, 121, 0)","(109, 129, 0)","(151, 117, 4)","(151, 117, 4)",20.6155281281,0.0
"(128, 121, 0)","(110, 128, 0)","(151, 117, 4)","(151, 117, 4)",19.3132079158,0.0
"(128, 121, 0)","(111, 128, 0)","(151, 117, 4)","(151, 117, 4)",18.3847763109,0.0
"(128, 121, 0)","(112, 128, 0)","(151, 117, 4)","(151, 117, 4)",17.4642491966,0.0
"(128, 122, 0)","(103, 133, 0)","(152, 118, 4)","(152, 118, 4)",27.3130005675,0.0
"(128, 122, 0)","(104, 132, 0)","(152, 118, 4)","(152, 118, 4)",26.0,0.0
"(128, 122, 0)","(105, 132, 0)","(152, 118, 4)","(152, 118, 4)",25.079872408,0.0
"(128, 122, 0)","(106, 131, 0)","(152, 118, 4)","(152, 118, 4)",23.769728648,0.0
"(128, 122, 0)","(107, 131, 0)","(152, 118, 4)","(152, 118, 4)",22.8473193176,0.0
"(128, 122, 0)","(108, 130, 0)","(152, 118, 4)","(152, 118, 4)",21.5406592285,0.0
"(128, 122, 0)","(108, 131, 0)","(152, 118, 4)","(152, 118, 4)",21.9317121995,0.0
"(128, 122, 0)","(109, 130, 0)","(152, 118, 4)","(152, 118, 4)",20.6155281281,0.0
"(128, 122, 0)","(110, 130, 0)","(152, 118, 4)","(152, 118, 4)",19.6977156036,0.0
"(128, 122, 0)","(111, 129, 0)","(152, 118, 4)","(152, 118, 4)",18.3847763109,0.0
"(128, 122, 0)","(112, 129, 0)","(152, 118, 4)","(152, 118, 4)",17.4642491966,0.0
"(128, 122, 0)","(113, 128, 0)","(152, 118, 4)","(152, 118, 4)",16.1554944214,0.0
"(128, 122, 0)","(114, 128, 0)","(152, 118, 4)","(152, 118, 4)",15.2315462117,0.0
"(128, 122, 0)","(115, 128, 0)","(152, 118, 4)","(152, 118, 4)",14.3178210633,0.0
"(128, 123, 0)","(104, 133, 0)","(153, 119, 4)","(153, 119, 4)",26.0,0.0
"(128, 123, 0)","(105, 133, 0)","(153, 119, 4)","(153, 119, 4)",25.079872408,0.0
"(128, 123, 0)","(106, 133, 0)","(153, 119, 4)","(153, 119, 4)",24.1660919472,0.0
"(128, 123, 0)","(107, 132, 0)","(153, 119, 4)","(153, 119, 4)",22.8473193176,0.0
"(128, 123, 0)","(108, 132, 0)","(153, 119, 4)","(153, 119, 4)",21.9317121995,0.0
"(128, 123, 0)","(109, 131, 0)","(153, 119, 4)","(153, 119, 4)",20.6155281281,0.0
"(128, 123, 0)","(110, 131, 0)","(153, 119, 4)","(153, 119, 4)",19.6977156036,0.0
"(128, 123, 0)","(111, 130, 0)","(153, 119, 4)","(153, 119, 4)",18.3847763109,0.0
"(128, 123, 0)","(112, 130, 0)","(153, 119, 4)","(153, 119, 4)",17.4642491966,0.0
"(128, 123, 0)","(113, 130, 0)","(153, 119, 4)","(153, 119, 4)",16.5529453572,0.0
"(128, 123, 0)","(114, 129, 0)","(153, 119, 4)","(153, 119, 4)",15.2315462117,0.0
"(128, 123, 0)","(115, 129, 0)","(153, 119, 4)","(153, 119, 4)",14.3178210633,0.0
"(128, 123, 0)","(116, 128, 0)","(153, 119, 4)","(153, 119, 4)",13.0,0.0
"(128, 123, 0)","(117, 128, 0)","(153, 119, 4)","(153, 119, 4)",12.0830459736,0.0
"(128, 124, 0)","(107, 133, 0)","(154, 119, 4)","(154, 119, 4)",22.8473193176,0.0
"(128, 124, 0)","(109, 132, 0)","(154, 119, 4)","(154, 119, 4)",20.6155281281,0.0
"(128, 124, 0)","(111, 131, 0)","(154, 119, 4)","(154, 119, 4)",18.3847763109,0.0
"(128, 124, 0)","(112, 131, 0)","(154, 119, 4)","(154, 119, 4)",17.4642491966,0.0
"(128, 124, 0)","(114, 130, 0)","(154, 119, 4)","(154, 119, 4)",15.2315462117,0.0
"(128, 124, 0)","(116, 129, 0)","(154, 119, 4)","(154, 119, 4)",13.0,0.0
"(128, 124, 0)","(118, 128, 0)","(154, 119, 4)","(154, 119, 4)",10.7703296143,0.0
"(128, 124, 0)","(119, 128, 0)","(154, 119, 4)","(154, 119, 4)",9.8488578018,0.0
"(128, 125, 0)","(107, 134, 0)","(155, 120, 4)","(155, 120, 4)",22.8473193176,0.0
"(128, 125, 0)","(108, 134, 0)","(155, 120, 4)","(155, 120, 4)",21.9317121995,0.0
"(128, 125, 0)","(109, 133, 0)","(155, 120, 4)","(155, 120, 4)",20.6155281281,0.0
"(128, 125, 0)","(110, 133, 0)","(155, 120, 4)","(155, 120, 4)",19.6977156036,0.0
"(128, 125, 0)","(112, 132, 0)","(155, 120, 4)","(155, 120, 4)",17.4642491966,0.0
"(128, 125, 0)","(113, 132, 0)","(155, 120, 4)","(155, 120, 4)",16.5529453572,0.0
"(128, 125, 0)","(114, 131, 0)","(155, 120, 4)","(155, 120, 4)",15.2315462117,0.0
"(128, 125, 0)","(115, 131, 0)","(155, 120, 4)","(155, 120, 4)",14.3178210633,0.0
"(128, 125, 0)","(117, 130, 0)","(155, 120, 4)","(155, 120, 4)",12.0830459736,0.0
"(128, 125, 0)","(118, 130, 0)","(155, 120, 4)","(155, 120, 4)",11.1803398875,0.0
"(128, 125, 0)","(119, 129, 0)","(155, 120, 4)","(155, 120, 4)",9.8488578018,0.0
"(128, 125, 0)","(120, 129, 0)","(155, 120, 4)","(155, 120, 4)",8.94427191,0.0
"(128, 125, 0)","(121, 128, 0)","(155, 120, 4)","(155, 120, 4)",7.61577310586,0.0
"(128, 125, 0)","(122, 128, 0)","(155, 120, 4)","(155, 120, 4)",6.7082039325,0.0
"(128, 126, 0)","(109, 134, 0)","(155, 121, 4)","(155, 121, 4)",20.6155281281,0.0
"(128, 126, 0)","(111, 133, 0)","(155, 121, 4)","(155, 121, 4)",18.3847763109,0.0
"(128, 126, 0)","(114, 132, 0)","(155, 121, 4)","(155, 121, 4)",15.2315462117,0.0
"(128, 126, 0)","(116, 131, 0)","(155, 121, 4)","(155, 121, 4)",13.0,0.0
"(128, 126, 0)","(121, 129, 0)","(155, 121, 4)","(155, 121, 4)",7.61577310586,0.0
"(128, 126, 0)","(123, 128, 0)","(155, 121, 4)","(155, 121, 4)",5.38516480713,0.0
"(128, 127, 0)","(110, 134, 0)","(156, 121, 4)","(156, 121, 4)",19.3132079158,0.0
"(128, 127, 0)","(111, 134, 0)","(156, 121, 4)","(156, 121, 4)",18.3847763109,0.0
"(128, 127, 0)","(112, 133, 0)","(156, 121, 4)","(156, 121, 4)",17.0880074906,0.0
"(128, 127, 0)","(112, 134, 0)","(156, 121, 4)","(156, 121, 4)",17.4642491966,0.0
"(128, 127, 0)","(113, 133, 0)","(156, 121, 4)","(156, 121, 4)",16.1554944214,0.0
"(128, 127, 0)","(114, 133, 0)","(156, 121, 4)","(156, 121, 4)",15.2315462117,0.0
"(128, 127, 0)","(115, 132, 0)","(156, 121, 4)","(156, 121, 4)",13.9283882772,0.0
"(128, 127, 0)","(116, 132, 0)","(156, 121, 4)","(156, 121, 4)",13.0,0.0
"(128, 127, 0)","(117, 131, 0)","(156, 121, 4)","(156, 121, 4)",11.7046999107,0.0
"(128, 127, 0)","(118, 131, 0)","(156, 121, 4)","(156, 121, 4)",10.7703296143,0.0
"(128, 127, 0)","(119, 130, 0)","(156, 121, 4)","(156, 121, 4)",9.48683298051,0.0
"(128, 127, 0)","(119, 131, 0)","(156, 121, 4)","(156, 121, 4)",9.8488578018,0.0
"(128, 127, 0)","(120, 130, 0)","(156, 121, 4)","(156, 121, 4)",8.54400374532,0.0
"(128, 127, 0)","(121, 130, 0)","(156, 121, 4)","(156, 121, 4)",7.61577310586,0.0
"(128, 127, 0)","(122, 129, 0)","(156, 121, 4)","(156, 121, 4)",6.32455532034,0.0
"(128, 127, 0)","(123, 129, 0)","(156, 121, 4)","(156, 121, 4)",5.38516480713,0.0
"(128, 127, 0)","(124, 128, 0)","(156, 121, 4)","(156, 121, 4)",4.12310562562,0.0
"(128, 127, 0)","(125, 128, 0)","(156, 121, 4)","(156, 121, 4)",3.16227766017,0.0
"(128, 127, 0)","(126, 128, 0)","(156, 121, 4)","(156, 121, 4)",2.2360679775,0.0
"(129, 118, 0)","(100, 130, 0)","(149, 115, 4)","(149, 115, 4)",31.384709653,0.0
"(129, 118, 0)","(105, 128, 0)","(149, 115, 4)","(149, 115, 4)",26.0,0.0
"(129, 119, 0)","(99, 132, 0)","(150, 116, 4)","(150, 116, 4)",32.6955654485,0.0
"(129, 119, 0)","(101, 131, 0)","(150, 116, 4)","(150, 116, 4)",30.4630924235,0.0
"(129, 119, 0)","(103, 130, 0)","(150, 116, 4)","(150, 116, 4)",28.231188427,0.0
"(129, 119, 0)","(105, 129, 0)","(150, 116, 4)","(150, 116, 4)",26.0,0.0
"(129, 119, 0)","(106, 129, 0)","(150, 116, 4)","(150, 116, 4)",25.079872408,0.0
"(129, 119, 0)","(108, 128, 0)","(150, 116, 4)","(150, 116, 4)",22.8473193176,0.0
"(129, 120, 0)","(101, 132, 0)","(151, 117, 4)","(151, 117, 4)",30.4630924235,0.0
"(129, 120, 0)","(102, 132, 0)","(151, 117, 4)","(151, 117, 4)",29.5465734054,0.0
"(129, 120, 0)","(103, 131, 0)","(151, 117, 4)","(151, 117, 4)",28.231188427,0.0
"(129, 120, 0)","(104, 131, 0)","(151, 117, 4)","(151, 117, 4)",27.3130005675,0.0
"(129, 120, 0)","(106, 130, 0)","(151, 117, 4)","(151, 117, 4)",25.079872408,0.0
"(129, 120, 0)","(107, 130, 0)","(151, 117, 4)","(151, 117, 4)",24.1660919472,0.0
"(129, 120, 0)","(108, 129, 0)","(151, 117, 4)","(151, 117, 4)",22.8473193176,0.0
"(129, 120, 0)","(109, 129, 0)","(151, 117, 4)","(151, 117, 4)",21.9317121995,0.0
"(129, 120, 0)","(110, 128, 0)","(151, 117, 4)","(151, 117, 4)",20.6155281281,0.0
"(129, 120, 0)","(111, 128, 0)","(151, 117, 4)","(151, 117, 4)",19.6977156036,0.0
"(129, 120, 0)","(112, 128, 0)","(151, 117, 4)","(151, 117, 4)",18.7882942281,0.0
"(129, 121, 0)","(103, 133, 0)","(152, 118, 4)","(152, 118, 4)",28.6356421266,0.0
"(129, 121, 0)","(104, 132, 0)","(152, 118, 4)","(152, 118, 4)",27.3130005675,0.0
"(129, 121, 0)","(105, 132, 0)","(152, 118, 4)","(152, 118, 4)",26.4007575649,0.0
"(129, 121, 0)","(106, 131, 0)","(152, 118, 4)","(152, 118, 4)",25.079872408,0.0
"(129, 121, 0)","(107, 131, 0)","(152, 118, 4)","(152, 118, 4)",24.1660919472,0.0
"(129, 121, 0)","(108, 130, 0)","(152, 118, 4)","(152, 118, 4)",22.8473193176,0.0
"(129, 121, 0)","(108, 131, 0)","(152, 118, 4)","(152, 118, 4)",23.2594066992,0.0
"(129, 121, 0)","(109, 130, 0)","(152, 118, 4)","(152, 118, 4)",21.9317121995,0.0
"(129, 121, 0)","(110, 130, 0)","(152, 118, 4)","(152, 118, 4)",21.0237960416,0.0
"(129, 121, 0)","(111, 129, 0)","(152, 118, 4)","(152, 118, 4)",19.6977156036,0.0
"(129, 121, 0)","(112, 129, 0)","(152, 118, 4)","(152, 118, 4)",18.7882942281,0.0
"(129, 121, 0)","(113, 128, 0)","(152, 118, 4)","(152, 118, 4)",17.4642491966,0.0
"(129, 121, 0)","(114, 128, 0)","(152, 118, 4)","(152, 118, 4)",16.5529453572,0.0
"(129, 121, 0)","(115, 128, 0)","(152, 118, 4)","(152, 118, 4)",15.6524758425,0.0
"(129, 122, 0)","(103, 133, 0)","(152, 118, 4)","(152, 118, 4)",28.231188427,0.0
"(129, 122, 0)","(104, 132, 0)","(152, 118, 4)","(152, 118, 4)",26.9258240357,0.0
"(129, 122, 0)","(105, 132, 0)","(152, 118, 4)","(152, 118, 4)",26.0,0.0
"(129, 122, 0)","(106, 131, 0)","(152, 118, 4)","(152, 118, 4)",24.6981780705,0.0
"(129, 122, 0)","(107, 131, 0)","(152, 118, 4)","(152, 118, 4)",23.769728648,0.0
"(129, 122, 0)","(108, 130, 0)","(152, 118, 4)","(152, 118, 4)",22.4722050542,0.0
"(129, 122, 0)","(108, 131, 0)","(152, 118, 4)","(152, 118, 4)",22.8473193176,0.0
"(129, 122, 0)","(109, 130, 0)","(152, 118, 4)","(152, 118, 4)",21.5406592285,0.0
"(129, 122, 0)","(110, 130, 0)","(152, 118, 4)","(152, 118, 4)",20.6155281281,0.0
"(129, 122, 0)","(111, 129, 0)","(152, 118, 4)","(152, 118, 4)",19.3132079158,0.0
"(129, 122, 0)","(112, 129, 0)","(152, 118, 4)","(152, 118, 4)",18.3847763109,0.0
"(129, 122, 0)","(113, 128, 0)","(152, 118, 4)","(152, 118, 4)",17.0880074906,0.0
"(129, 122, 0)","(114, 128, 0)","(152, 118, 4)","(152, 118, 4)",16.1554944214,0.0
"(129, 122, 0)","(115, 128, 0)","(152, 118, 4)","(152, 118, 4)",15.2315462117,0.0
"(129, 123, 0)","(104, 133, 0)","(153, 119, 4)","(153, 119, 4)",26.9258240357,0.0
"(129, 123, 0)","(105, 133, 0)","(153, 119, 4)","(153, 119, 4)",26.0,0.0
"(129, 123, 0)","(106, 133, 0)","(153, 119, 4)","(153, 119, 4)",25.079872408,0.0
"(129, 123, 0)","(107, 132, 0)","(153, 119, 4)","(153, 119, 4)",23.769728648,0.0
"(129, 123, 0)","(108, 132, 0)","(153, 119, 4)","(153, 119, 4)",22.8473193176,0.0
"(129, 123, 0)","(109, 131, 0)","(153, 119, 4)","(153, 119, 4)",21.5406592285,0.0
"(129, 123, 0)","(110, 131, 0)","(153, 119, 4)","(153, 119, 4)",20.6155281281,0.0
"(129, 123, 0)","(111, 130, 0)","(153, 119, 4)","(153, 119, 4)",19.3132079158,0.0
"(129, 123, 0)","(112, 130, 0)","(153, 119, 4)","(153, 119, 4)",18.3847763109,0.0
"(129, 123, 0)","(113, 130, 0)","(153, 119, 4)","(153, 119, 4)",17.4642491966,0.0
"(129, 123, 0)","(114, 129, 0)","(153, 119, 4)","(153, 119, 4)",16.1554944214,0.0
"(129, 123, 0)","(115, 129, 0)","(153, 119, 4)","(153, 119, 4)",15.2315462117,0.0
"(129, 123, 0)","(116, 128, 0)","(153, 119, 4)","(153, 119, 4)",13.9283882772,0.0
"(129, 123, 0)","(117, 128, 0)","(153, 119, 4)","(153, 119, 4)",13.0,0.0
"(129, 124, 0)","(108, 133, 0)","(154, 120, 4)","(154, 120, 4)",22.8473193176,0.0
"(129, 124, 0)","(110, 132, 0)","(154, 120, 4)","(154, 120, 4)",20.6155281281,0.0
"(129, 124, 0)","(111, 132, 0)","(154, 120, 4)","(154, 120, 4)",19.6977156036,0.0
"(129, 124, 0)","(113, 131, 0)","(154, 120, 4)","(154, 120, 4)",17.4642491966,0.0
"(129, 124, 0)","(115, 130, 0)","(154, 120, 4)","(154, 120, 4)",15.2315462117,0.0
"(129, 124, 0)","(116, 130, 0)","(154, 120, 4)","(154, 120, 4)",14.3178210633,0.0
"(129, 124, 0)","(117, 129, 0)","(154, 120, 4)","(154, 120, 4)",13.0,0.0
"(129, 124, 0)","(118, 129, 0)","(154, 120, 4)","(154, 120, 4)",12.0830459736,0.0
"(129, 124, 0)","(120, 128, 0)","(154, 120, 4)","(154, 120, 4)",9.8488578018,0.0
"(129, 125, 0)","(107, 134, 0)","(155, 120, 4)","(155, 120, 4)",23.769728648,0.0
"(129, 125, 0)","(108, 134, 0)","(155, 120, 4)","(155, 120, 4)",22.8473193176,0.0
"(129, 125, 0)","(109, 133, 0)","(155, 120, 4)","(155, 120, 4)",21.5406592285,0.0
"(129, 125, 0)","(110, 133, 0)","(155, 120, 4)","(155, 120, 4)",20.6155281281,0.0
"(129, 125, 0)","(112, 132, 0)","(155, 120, 4)","(155, 120, 4)",18.3847763109,0.0
"(129, 125, 0)","(113, 132, 0)","(155, 120, 4)","(155, 120, 4)",17.4642491966,0.0
"(129, 125, 0)","(114, 131, 0)","(155, 120, 4)","(155, 120, 4)",16.1554944214,0.0
"(129, 125, 0)","(115, 131, 0)","(155, 120, 4)","(155, 120, 4)",15.2315462117,0.0
"(129, 125, 0)","(117, 130, 0)","(155, 120, 4)","(155, 120, 4)",13.0,0.0
"(129, 125, 0)","(118, 130, 0)","(155, 120, 4)","(155, 120, 4)",12.0830459736,0.0
"(129, 125, 0)","(119, 129, 0)","(155, 120, 4)","(155, 120, 4)",10.7703296143,0.0
